Male,Female,All
11785, 11839, 23624
11371, 11461, 22832
11125, 11268, 22393
11453, 11673, 23126
10975, 11295, 22270
10668, 11006, 21674
10507, 10897, 21404
10353, 10874, 21227
10617, 11226, 21843
10442, 11018, 21460
10275, 10854, 21129
10182, 10821, 21003
10141, 10857, 20998
10421, 11169, 21590
10221, 11078, 21299
10106, 11020, 21126
10060, 11059, 21119
10006, 11091, 21097
10261, 11420, 21681
10184, 11406, 21590
10129, 11475, 21604
10110, 11497, 21607
10182, 11639, 21821
10436, 11995, 22431
10406, 12029, 22435
10453, 12099, 22552
10542, 12242, 22784
10630, 12369, 22999
10907, 12735, 23642
10904, 12805, 23709
10970, 12950, 23920
11076, 13129, 24205
11269, 13283, 24552
11525, 13631, 25156
11629, 13761, 25390
11777, 13932, 25709
11910, 14162, 26072
12077, 14366, 26443
12329, 14626, 26955
12426, 14779, 27205
12550, 14968, 27518
12653, 15188, 27841
12833, 15453, 28286
13070, 15687, 28757
13244, 15828, 29072
13430, 16042, 29472
13583, 16244, 29827
13775, 16522, 30297
13967, 16720, 30687
14130, 16888, 31018
14238, 17080, 31318
